local_id,category,file_path,source_path,title_or_description,topic_tags,ingestion_priority,notes
LRX-CORE-001,core_paper,papers/local_reaxff/core_papers/LRX-CORE-001-irikura-2013-rdx-early-decomposition.pdf,D:/Desktop/Reaxff/RDX/00irikura-2013-aminoxyl-(nitroxyl)-radicals-in-the-early-decomposition-of-the-nitramine-rdx.pdf,"Aminoxyl/nitroxyl radicals in the early decomposition of the nitramine RDX","RDX;nitramine;early_decomposition;radicals;DFT",high,"Core RDX decomposition paper; suitable for mechanism QA"
LRX-CORE-002,core_paper,papers/local_reaxff/core_papers/LRX-CORE-002-schweigert-2015-rdx-ab-initio-md-dissociation.pdf,D:/Desktop/Reaxff/RDX/01schweigert-2015-ab-initio-molecular-dynamics-of-high-temperature-unimolecular-dissociation-of-gas-phase-rdx-and-its.pdf,"Ab initio molecular dynamics of high-temperature unimolecular dissociation of gas-phase RDX and its dissociation products","RDX;ab_initio_MD;thermal_decomposition;dissociation",high,"Core RDX AIMD paper"
LRX-CORE-003,core_paper,papers/local_reaxff/core_papers/LRX-CORE-003-jeilani-2015-rdx-fragmentation-dft.pdf,D:/Desktop/Reaxff/RDX/Rapid Comm Mass Spectrometry - 2015 - Jeilani - Tandem mass spectrometry and density functional theory of RDX fragmentation.pdf,"Tandem mass spectrometry and density functional theory of RDX fragmentation pathways","RDX;fragmentation;DFT;mass_spectrometry",medium,"Useful support for RDX decomposition pathway questions"
LRX-CORE-004,core_paper,papers/local_reaxff/core_papers/LRX-CORE-004-cl20-tnt-sensitivity-micromechanical-insight.pdf,D:/Desktop/Reaxff/开题/CL-20TNT 晶体灵敏度降低的 Mical 洞察.pdf,"Micromechanical insight into reduced sensitivity of CL-20/TNT crystal","CL-20;TNT;cocrystal;sensitivity;micromechanics",high,"Filename suggests CL-20/TNT sensitivity; verify title during ingestion"
LRX-CORE-005,core_paper,papers/local_reaxff/core_papers/LRX-CORE-005-rdx-al-interface-reaxff-md.pdf,D:/Desktop/Reaxff/开题/基于ReaxFF分子动力学的RDX-铝界面的热力学模拟.pdf,"Thermodynamic simulation of RDX-Al interface based on ReaxFF molecular dynamics","RDX;Al;interface;ReaxFF;MD;thermodynamics",high,"Highly aligned with energetic composite ReaxFF corpus"
LRX-CORE-006,core_paper,papers/local_reaxff/core_papers/LRX-CORE-006-condensed-phase-energetic-materials-decomposition.pdf,D:/Desktop/Reaxff/开题/凝聚相含能材料的组成：单分子和双分子机制之间的相互作用.pdf,"Condensed-phase energetic-material decomposition: interplay between unimolecular and bimolecular mechanisms","energetic_materials;condensed_phase;decomposition;mechanism",high,"Good mechanism-level source"
LRX-CORE-007,core_paper,papers/local_reaxff/core_papers/LRX-CORE-007-rdx-derivatives-high-energy-density-prediction.pdf,D:/Desktop/Reaxff/开题/一系列新型双环环三亚甲基三硝胺（RDX）衍生高能密度材料的设计与性能预测.pdf,"Design and performance prediction of bicyclic RDX-derived high-energy-density materials","RDX;derivatives;high_energy_density;property_prediction",medium,"Useful for material design questions; not necessarily MD"
LRX-CORE-008,core_paper,papers/local_reaxff/core_papers/LRX-CORE-008-nano-al-nitrocellulose-composite-propellant.pdf,D:/Desktop/Reaxff/开题/纳米铝硝基纤维素介粒在复合固体火箭推进剂中的应用.pdf,"Application of nano-aluminum/nitrocellulose composite particles in composite solid rocket propellants","Al;nitrocellulose;composite_propellant;energetic_composite",medium,"Application-side energetic composite reference"
LRX-CORE-009,core_paper,papers/local_reaxff/core_papers/LRX-CORE-009-min-2012-htpb-ap-zr-propellant.pdf,D:/Desktop/Reaxff/min2012.pdf,"Study on combustion characteristics and performance of HTPB/AP propellants containing zirconium","HTPB;AP;Zr;propellant;combustion;performance",medium,"Propellant performance reference; not MD-specific"
LRX-METHOD-001,reaxff_method,papers/local_reaxff/reaxff_methods/LRX-METHOD-001-ereaxff-islam.pdf,D:/Desktop/Reaxff/R论文/eReaxFF_Islam_et_al.pdf,"eReaxFF: explicit electrons within reactive force field simulations","eReaxFF;reactive_force_field;method",medium,"Method background; not part of answer corpus unless method questions are enabled"
LRX-METHOD-002,reaxff_method,papers/local_reaxff/reaxff_methods/LRX-METHOD-002-reaxff-user-manual.pdf,D:/Desktop/Reaxff/R论文/ReaxFF-users-manual.pdf,"ReaxFF user manual","ReaxFF;manual;simulation_setup",low,"Use as tool/manual reference, not literature evidence"
