download_id,title,year,journal,doi,openalex_id,pdf_url,source_query,file_path,topic_tags,status
CORE-DL-004,The co-crystal of TNT/CL-20 leads to decreased sensitivity toward thermal decomposition from first principles based reactive molecular dynamics,2015,Journal of Materials Chemistry A,10.1039/c4ta06858k,https://openalex.org/W1971183000,https://content.openalex.org/works/W1971183000.pdf,CL-20 HMX molecular dynamics cocrystal explosive,papers/core_downloaded/CORE-DL-004-the-co-crystal-of-tnt-cl-20-leads-to-decreased-sensitivity-toward-thermal-decomp.pdf,energetic_materials;MD;ReaxFF;PBX;thermal_decomposition,http 429
CORE-DL-004,Molecular dynamics simulations on ε-CL-20-based PBXs with added GAP and its derivative polymers,2018,RSC Advances,10.1039/c7ra13517c,https://openalex.org/W2785648296,https://content.openalex.org/works/W2785648296.pdf,CL-20 polymer bonded explosive molecular dynamics,papers/core_downloaded/CORE-DL-004-molecular-dynamics-simulations-on-cl-20-based-pbxs-with-added-gap-and-its-deriva.pdf,energetic_materials;MD;ReaxFF;PBX;thermal_decomposition,http 429
CORE-DL-004,Thermal Decomposition Mechanism of &lt;em&gt;&amp;beta;&lt;/em&gt;-HMX under High Pressures &lt;em&gt;via&lt;/em&gt; ReaxFF Reactive Molecular Dynamics Simulations,2012,Acta Physico-Chimica Sinica,10.3866/pku.whxb201208031,https://openalex.org/W2591580363,http://www.whxb.pku.edu.cn/CN/article/downloadArticleFile.do?attachType=PDF&id=28172,HMX ReaxFF molecular dynamics thermal decomposition,papers/core_downloaded/CORE-DL-004-thermal-decomposition-mechanism-of-lt-em-gt-amp-beta-lt-em-gt-hmx-under-high-pre.pdf,energetic_materials;MD;ReaxFF;PBX;thermal_decomposition,http 412
CORE-DL-004,Recent ReaxFF MD studies on pyrolysis and combustion mechanisms of aviation/aerospace fuels and energetic additives,2022,Energy Advances,10.1039/d2ya00285j,https://openalex.org/W4311899121,https://content.openalex.org/works/W4311899121.pdf,HMX ReaxFF molecular dynamics thermal decomposition,papers/core_downloaded/CORE-DL-004-recent-reaxff-md-studies-on-pyrolysis-and-combustion-mechanisms-of-aviation-aero.pdf,energetic_materials;MD;ReaxFF;PBX;thermal_decomposition,http 429
CORE-DL-004,Predicted detonation properties at the Chapman–Jouguet state for proposed energetic materials (MTO and MTO3N) from combined ReaxFF and quantum mechanics reactive dynamics,2018,Physical Chemistry Chemical Physics,10.1039/c7cp07321f,https://openalex.org/W2782194639,https://content.openalex.org/works/W2782194639.pdf,HMX ReaxFF molecular dynamics thermal decomposition,papers/core_downloaded/CORE-DL-004-predicted-detonation-properties-at-the-chapman-jouguet-state-for-proposed-energe.pdf,energetic_materials;MD;ReaxFF;PBX;thermal_decomposition,http 429
CORE-DL-004,Study on the interfacial interaction between ammonium perchlorate and hydroxyl-terminated polybutadiene in solid propellants by molecular dynamics simulation,2022,e-Polymers,10.1515/epoly-2022-0016,https://openalex.org/W4226138515,https://content.openalex.org/works/W4226138515.pdf,PBX molecular dynamics binder explosive interface,papers/core_downloaded/CORE-DL-004-study-on-the-interfacial-interaction-between-ammonium-perchlorate-and-hydroxyl-t.pdf,energetic_materials;MD;ReaxFF;PBX;thermal_decomposition,http 429
CORE-DL-004,Shock response of condensed-phase RDX: molecular dynamics simulations in conjunction with the MSST method,2018,RSC Advances,10.1039/c8ra00409a,https://openalex.org/W2799513631,https://content.openalex.org/works/W2799513631.pdf,HMX ReaxFF molecular dynamics thermal decomposition,papers/core_downloaded/CORE-DL-004-shock-response-of-condensed-phase-rdx-molecular-dynamics-simulations-in-conjunct.pdf,energetic_materials;MD;ReaxFF;PBX;thermal_decomposition,http 429
CORE-DL-004,Study of the thermal decomposition mechanism of FOX-7 by molecular dynamics simulation and online photoionization mass spectrometry,2020,RSC Advances,10.1039/d0ra03443f,https://openalex.org/W3033341539,https://content.openalex.org/works/W3033341539.pdf,HMX ReaxFF molecular dynamics thermal decomposition,papers/core_downloaded/CORE-DL-004-study-of-the-thermal-decomposition-mechanism-of-fox-7-by-molecular-dynamics-simu.pdf,energetic_materials;MD;ReaxFF;PBX;thermal_decomposition,http 429
CORE-DL-004,"Prediction of structures and properties of 2,4,6-triamino-1,3,5-triazine-1,3,5-trioxide (MTO) and 2,4,6-trinitro-1,3,5-triazine-1,3,5-trioxide (MTO3N) green energetic materials from DFT and ReaxFF molecular modeling",2015,Journal of Materials Chemistry A,10.1039/c5ta06426k,https://openalex.org/W2166735031,https://content.openalex.org/works/W2166735031.pdf,HMX ReaxFF molecular dynamics thermal decomposition,papers/core_downloaded/CORE-DL-004-prediction-of-structures-and-properties-of-2-4-6-triamino-1-3-5-triazine-1-3-5-t.pdf,energetic_materials;MD;ReaxFF;PBX;thermal_decomposition,http 429
CORE-DL-004,Thermal Sensitivity of CL20/DNB Co-crystal Research via Molecular Dynamics Simulations,2016,Acta Chimica Sinica,10.6023/a16030141,https://openalex.org/W2495396363,https://content.openalex.org/works/W2495396363.pdf,HMX ReaxFF molecular dynamics thermal decomposition,papers/core_downloaded/CORE-DL-004-thermal-sensitivity-of-cl20-dnb-co-crystal-research-via-molecular-dynamics-simul.pdf,energetic_materials;MD;ReaxFF;PBX;thermal_decomposition,http 429
