core_id,source_group,title,year,journal,doi,file_path,topic_tags,notes
EMMD-016,curated_seed,Molecular Dynamics Simulation of Interface Interactions and Mechanical Properties of CL-20/HMX Cocrystal and Its Based PBXs,2014,Acta Chimica Sinica,10.6023/a14040295,papers/EMMD-016.pdf,CL-20;HMX;cocrystal;PBX;interface;mechanical_properties;MD,Chinese OA CL-20/HMX PBX example
LRX-CORE-001,local_reaxff,Aminoxyl/nitroxyl radicals in the early decomposition of the nitramine RDX,,,,papers/local_reaxff/core_papers/LRX-CORE-001-irikura-2013-rdx-early-decomposition.pdf,RDX;nitramine;early_decomposition;radicals;DFT,Core RDX decomposition paper; suitable for mechanism QA
LRX-CORE-002,local_reaxff,Ab initio molecular dynamics of high-temperature unimolecular dissociation of gas-phase RDX and its dissociation products,,,,papers/local_reaxff/core_papers/LRX-CORE-002-schweigert-2015-rdx-ab-initio-md-dissociation.pdf,RDX;ab_initio_MD;thermal_decomposition;dissociation,Core RDX AIMD paper
LRX-CORE-003,local_reaxff,Tandem mass spectrometry and density functional theory of RDX fragmentation pathways,,,,papers/local_reaxff/core_papers/LRX-CORE-003-jeilani-2015-rdx-fragmentation-dft.pdf,RDX;fragmentation;DFT;mass_spectrometry,Useful support for RDX decomposition pathway questions
LRX-CORE-004,local_reaxff,Micromechanical insight into reduced sensitivity of CL-20/TNT crystal,,,,papers/local_reaxff/core_papers/LRX-CORE-004-cl20-tnt-sensitivity-micromechanical-insight.pdf,CL-20;TNT;cocrystal;sensitivity;micromechanics,Filename suggests CL-20/TNT sensitivity; verify title during ingestion
LRX-CORE-005,local_reaxff,Thermodynamic simulation of RDX-Al interface based on ReaxFF molecular dynamics,,,,papers/local_reaxff/core_papers/LRX-CORE-005-rdx-al-interface-reaxff-md.pdf,RDX;Al;interface;ReaxFF;MD;thermodynamics,Highly aligned with energetic composite ReaxFF corpus
LRX-CORE-006,local_reaxff,Condensed-phase energetic-material decomposition: interplay between unimolecular and bimolecular mechanisms,,,,papers/local_reaxff/core_papers/LRX-CORE-006-condensed-phase-energetic-materials-decomposition.pdf,energetic_materials;condensed_phase;decomposition;mechanism,Good mechanism-level source
LRX-CORE-007,local_reaxff,Design and performance prediction of bicyclic RDX-derived high-energy-density materials,,,,papers/local_reaxff/core_papers/LRX-CORE-007-rdx-derivatives-high-energy-density-prediction.pdf,RDX;derivatives;high_energy_density;property_prediction,Useful for material design questions; not necessarily MD
LRX-CORE-008,local_reaxff,Application of nano-aluminum/nitrocellulose composite particles in composite solid rocket propellants,,,,papers/local_reaxff/core_papers/LRX-CORE-008-nano-al-nitrocellulose-composite-propellant.pdf,Al;nitrocellulose;composite_propellant;energetic_composite,Application-side energetic composite reference
LRX-CORE-009,local_reaxff,Study on combustion characteristics and performance of HTPB/AP propellants containing zirconium,,,,papers/local_reaxff/core_papers/LRX-CORE-009-min-2012-htpb-ap-zr-propellant.pdf,HTPB;AP;Zr;propellant;combustion;performance,Propellant performance reference; not MD-specific
